id,email_body,expected_result
31,"Urgent quote needed: 50 first aid kits (OSHA compliant). - Safety Team",yes
32,"Update your emergency contact details here: [link]. - HR",no
33,"Can you quote 10,000 custom-printed cardboard boxes? - Marketing",yes
34,"WiFi password changed to 'Company2024'. - IT Dept",no
35,"The client said, 'Quote me happy!' during the call. See notes.",no
36,"Requesting price for 20 pallets of warehouse shelving. - Logistics",yes
37,"Your subscription to CloudService Pro renews next week. - Billing",no
38,"Need best rate for 100 graphic design laptops (RTX 4060). - IT",yes
39,"Performance review meetings start next Monday. - HR",no
40,"Please quote 500kg of aluminum alloy sheets (2mm thick). - John",yes
41,"Parking lot repaving begins tomorrow. Use alternate entrance. - Facilities",no
42,"RFQ: 200 office plants (low maintenance varieties). - Admin",yes
43,"Phishing alert: Report suspicious emails to IT immediately. - Security",no
44,"Budget required for 50 standing desks with monitors. - Finance",yes
45,"Coffee machine in break room out of service. Use Floor 3. - Admin",no
46,"Need urgent pricing for 10,000 biodegradable cups. - Events",yes
47,"New cybersecurity training module assigned. Complete by EOW. - IT",no
48,"Quotation needed: 5,000 branded USB drives (32GB). - Marketing",yes
49,"Elevator maintenance ongoing. Use stairs where possible. - Facilities",no
50,"Can you provide a quote for 200 safety goggles? - Warehouse",yes
51,"Team building workshop postponed to next month. - HR",no
52,"Price inquiry: 100 industrial fans (240V). Lead time? - Sam",yes
53,"Update: New printer setup in Room 205. - IT Support",no
54,"Request formal quote for 50 office soundproof booths. - Design",yes
55,"Reminder: Submit timesheets by Friday 5 PM. - Payroll",no
56,"Need bulk pricing for 1,000 HDMI cables (6ft). - Procurement",yes
57,"Fire extinguisher inspection scheduled for tomorrow. - Safety",no
58,"Quote request: 200 anti-fatigue floor mats. - Operations",yes
59,"Lunch delivery service trial starts today. Menu attached. - Admin",no
60,"Please provide rates for 500kg of PLA filament (3D printing). - R&D",yes
61,"New recycling bins installed on all floors. Guidelines attached. - Green Team",no
62,"Urgent: Quote needed for 20 conference call systems. - IT",yes
63,"Staff ID photos will be taken in the lobby today. - HR",no
64,"Can you send a quote for 100 office chairs with armrests? - Lucy",yes
65,"Water cooler filter replacement today. Temporary units in place. - Facilities",no
66,"Need pricing for 50 wireless presentation remotes. - Sales",yes
67,"Mandatory diversity training assigned in your portal. - HR",no
68,"The report quoted industry averages, but we need actual numbers.",no
69,"Our CEO quoted your work in the press release draft. Review attached.",no
70,"Your quoted prices from Q1 are outdated – need 2024 figures.",yes
71,"Requesting quote for 200 office keyboards (wireless). - IT Dept",yes
72,"Annual leave balances will reset on January 1. - HR",no
73,"Need pricing for 10,000 compostable food containers. - Catering",yes
74,"New project management tool rollout begins next week. - IT",no
75,"Please quote 50 standing desk converters. Delivery to HQ. - Sam",yes
76,"Bike rack installation completed near north entrance. - Facilities",no
77,"RFQ: 100 ergonomic mouse pads with wrist support. - Admin",yes
78,"Stairwell lighting upgrade ongoing. Use temporary lights. - Safety",no
79,"Urgent: Quote for 500 fire-resistant document boxes. - Legal",yes
80,"New cafeteria menu starts Monday. Dietary options marked. - Admin",no
81,"Need best price for 200 noise-canceling headphones. - IT",yes
82,"Office temperature settings adjusted per feedback. - Facilities",no
83,"Quotation required: 50 office water coolers (hot/cold). - Procurement",yes
84,"Charity fun run registration now open. Sign up here. - Events",no
85,"Price check: 100 adjustable monitor arms (dual screen). - Design",yes
86,"New ID badge scanners activated today. Tap to enter. - Security",no
87,"Please provide quote for 20 meeting room webcams (4K). - IT",yes
88,"Reminder: Clean desk policy enforced starting Monday. - Management",no
89,"Need bulk pricing for 5,000 lanyards with badge holders. - HR",yes
90,"Coffee supplier changed – free tasting in break room. - Admin",no
91,"Quote request: 200 desk lamps with USB ports. - Facilities",yes
92,"New parental leave policy document attached. - HR",no
93,"Urgent: Pricing needed for 10,000 custom mailer boxes. - Shipping",yes
94,"Air conditioning maintenance scheduled for Friday. - Facilities",no
95,"Can you quote 50 industrial label printers? - Warehouse",yes
96,"Friday casual dress day approved for summer months. - HR",no
97,"Requesting formal quotation for 100 office toolkits. - Maintenance",yes
98,"New smoking area designated behind Building B. - Facilities",no
99,"Need best rate for 200 office footrests (adjustable). - Health",yes
100,"Monthly fire alarm test today at 2 PM. - Safety Team",no
101,"The client said, 'Can you quote me on this?' but it was rhetorical.",no
102,"Your quote from last week was perfect – proceed with order.",no
103,"We quoted Shakespeare in the proposal – see page 5.",no
104,"Need to revise the quoted timeline in Section 3.",no
105,"Can you requote the project with faster shipping?",yes
106,"Need pricing for 50 units of Model X-200",yes
107,"Following up on our meeting last week",no
108,"Request for quote: Industrial pumps for new facility",yes
109,"Holiday schedule for December",no
110,"Urgent: Please send updated pricing for our order",yes
111,"Invoice #45982 - Payment confirmation",no
112,"Looking for best price on bulk order of resistors",yes
113,"Job application - Senior Engineer position",no
114,"Quotation needed for upcoming government project",yes
115,"Team lunch next Friday",no
116,"Can you match competitor pricing for these items?",yes
117,"System maintenance scheduled for this weekend",no
118,"Requesting formal quote for client presentation tomorrow",yes
119,"Updated contact information",no
120,"Price inquiry for replacement parts",yes
121,"Newsletter subscription confirmation",no
122,"Need cost estimate for 200 units by EOD",yes
123,"Invitation: Annual industry conference",no
124,"RFQ: 15 industrial sensors with rush delivery",yes
125,"Thank you for your excellent service",no
126,"Seeking price list for Q4 2023",yes
127,"Meeting minutes from yesterday's call",no
128,"Quotation request for office renovation supplies",yes
129,"Out of office notification: June 15-22",no
130,"Need pricing on bulk order of microcontrollers",yes
131,"Your subscription has been renewed",no
132,"RFQ: 500 units of thermal paper for POS systems",yes
133,"Job interview scheduling",no
134,"Requesting cost breakdown for project materials",yes
135,"Company picnic - RSVP required",no
136,"Price check on replacement parts for Model T450",yes
137,"System update completed successfully",no
138,"Formal quote needed for budget approval",yes
139,"Reminder: Complete annual security training",no
140,"Pricing inquiry for custom manufacturing run",yes
141,"New employee orientation details",no
142,"Request for updated quotation with expedited shipping",yes
143,"Maintenance schedule for July",no
144,"Need cost estimate for client proposal",yes
145,"Holiday gift exchange sign-up",no
146,"Quote request: 1000 custom PCBs with rush service",yes
147,"Password reset confirmation",no
148,"Seeking competitive pricing for annual contract",yes
149,"Team building event next month",no
150,"Urgent: Need price for emergency replacement parts",yes
151,"Updated employee handbook attached",no
152,"RFQ for upcoming government contract bid",yes
153,"Fire drill scheduled for Friday",no
154,"Requesting quote for 25 industrial sensors",yes
155,"Congratulations on your work anniversary",no
156,"Price inquiry for bulk order with long-term contract",yes
157,"Software license expiration notice",no
158,"Need formal quotation for board presentation",yes
159,"Office closure due to weather",no
160,"Requesting updated pricing on previous order #45678",yes
161,"Welcome to the team!",no
162,"Quote needed: 200 custom enclosures with logo",yes
163,"Reminder: Quarterly tax filing due",no
164,"Price request for rush manufacturing order",yes
165,"Company newsletter - June edition",no
166,"Seeking quotation for annual maintenance contract",yes
167,"Your feedback is important to us",no
168,"Request for pricing on volume discount options",yes
169,"Parking garage maintenance notice",no
170,"Need quote for replacement components ASAP",yes
171,"Benefits enrollment period now open",no
172,"RFQ: Industrial cleaning supplies for new facility",yes
173,"IT security alert - phishing attempts",no
174,"Requesting cost estimate for project expansion",yes
175,"Happy birthday from the team!",no
176,"Price check on upgraded materials for current order",yes
177,"Scheduled server maintenance tonight",no
178,"Formal quotation needed for capital expenditure approval",yes
179,"Employee survey - your input matters",no
180,"Seeking competitive bid for annual supply contract",yes
181,"Reminder: Submit expense reports by Friday",no
182,"Quote request for custom manufacturing run",yes
183,"Office renovation updates",no
184,"Need pricing for extended warranty options",yes
185,"Upcoming training opportunities",no
186,"Request for quote: Emergency backup systems",yes
187,"Changes to company travel policy",no
188,"Pricing inquiry for bulk purchase with phased delivery",yes
189,"Health insurance premium adjustment notice",no
190,"RFQ: Laboratory equipment for new research facility",yes
191,"Volunteer opportunity: Community cleanup day",no
192,"Need cost breakdown for client-billable materials",yes
193,"Reminder: Change your password regularly",no
194,"Requesting updated quotation with current market prices",yes
195,"Company directory has been updated",no
196,"Price request for custom configuration of standard products",yes
197,"Scheduled network outage this weekend",no
198,"Formal quote needed for investor presentation",yes
199,"Reminder: Complete your timesheet",no
200,"Seeking best price for rush order of components",yes
201,"New parking procedures effective next month",no
202,"Quote needed for specialized manufacturing services",yes
203,"Employee discount program updates",no
204,"Requesting pricing for extended maintenance agreement",yes
205,"Charity fundraiser next week",no
206,"RFQ: Industrial safety equipment for new facility",yes
207,"Software update available for download",no
208,"Need price estimate for scaled production run",yes
209,"Office supplies inventory check",no
210,"Quotation request for custom fabrication services",yes
211,"Upcoming holiday schedule",no
212,"Price inquiry for alternative materials options",yes
213,"Team photo day next Tuesday",no
214,"Request for updated pricing on annual contract renewal",yes
215,"Building access card replacement procedure",no
216,"Need formal quote for budget planning purposes",yes
217,"Congratulations on your recent achievement",no
218,"Seeking competitive pricing for large-scale deployment",yes
219,"Reminder: Clean out refrigerator on Friday",no
220,"RFQ: Specialized components for prototype development",yes
221,"Company social media policy updates",no
222,"Requesting detailed quotation with technical specifications",yes
223,"Fire extinguisher inspection notice",no
224,"Price check on expedited manufacturing options",yes
225,"Wellness program enrollment now open",no
226,"FYI: Updated pricing structure effective next month",yes
227,"Quick question about yesterday's presentation",no
228,"Can you provide a ballpark figure for this project?",yes
229,"Shared Google Drive folder with you",no
230,"Not sure if you quote these, but need pricing on specialized components",yes
231,"Just checking in - how are things going?",no
232,"Wondering if you could send over some numbers for budgeting purposes",yes
233,"Your Amazon order has shipped",no
234,"Any chance you could let me know what these might cost?",yes
235,"Please review attached contract revisions",no
236,"Thinking about placing an order - what would it cost for about 500 units?",yes
237,"Lunch and Learn session next Wednesday",no
238,"Re: Previous conversation about pricing options",yes
239,"Printer on 3rd floor needs toner",no
240,"Just wanted to see what the damage would be for these parts",yes
241,"Updated org chart for your reference",no
242,"Hypothetically speaking, if we were to order 1000 units...",yes
243,"Don't forget to submit your vacation requests",no
244,"If you were to give me a quote today, what would it look like?",yes
245,"Reminder: Sign up for health benefits",no
246,"I'm putting together some numbers and need your input on pricing",yes
247,"Parking lot will be repaved this weekend",no
248,"Not an urgent request, but could use pricing when convenient",yes
249,"FYI - New security badges required",no
250,"Just exploring options - what would these components run us?",yes
251,"Mandatory compliance training due Friday",no
252,"Curious what the cost might be for this specification",yes
253,"Air conditioning maintenance scheduled",no
254,"Would appreciate some pricing guidance when you have a moment",yes
255,"Please complete the attached survey",no
256,"Trying to compare vendors - could you provide your rates?",yes
257,"Office will close early for holiday weekend",no
258,"Need to present some options to my boss - can you help with pricing?",yes
259,"Your password will expire in 3 days",no
260,"Just wanted to run some numbers by you before formal RFQ",yes
261,"Reminder: Clean out your refrigerator items",no
262,"Hoping you might give me a rough estimate for planning purposes",yes
263,"Updated emergency contact procedures",no
264,"What would be the financial impact of switching to your product?",yes
265,"Company softball team sign-ups",no
266,"Trying to get a sense of what this might cost us",yes
267,"Elevator maintenance scheduled for Tuesday",no
268,"Would you mind sending over some pricing information?",yes
269,"Blood drive next week - volunteers needed",no
270,"Need to understand cost implications before proceeding",yes
271,"Please update your contact information",no
272,"Hoping to get some numbers to take to my committee",yes
273,"Reminder: Turn off lights when leaving",no
274,"What kind of investment would we be looking at for this project?",yes
275,"New coffee machine in break room",no
276,"Could you ballpark what these specifications might cost?",yes
277,"Updated holiday schedule attached",no
278,"Trying to get budget approval - need some figures from you",yes
279,"Office supplies inventory check",no
280,"Would appreciate some cost guidance for this project",yes
281,"Reminder: Submit timesheet by Friday",no
282,"Looking for some rough numbers for these components",yes
283,"Building security update - please read",no
284,"Need to understand the financial commitment before proceeding",yes
285,"Team lunch order - please respond",no
286,"Could you help me understand what this might cost?",yes
287,"Scheduled IT maintenance this weekend",no
288,"Hoping to get a sense of pricing before formal request",yes
289,"Updated parking permit procedures",no
290,"What would the financial picture look like for this order?",yes
291,"Please complete harassment prevention training",no
292,"Trying to get a handle on costs for upcoming project",yes
293,"Office temperature adjustment policy",no
294,"Would you be able to provide some pricing guidance?",yes
295,"Reminder: Return borrowed equipment",no
296,"Need to understand cost structure before moving forward",yes
297,"Updated email signature requirements",no
298,"Looking for some numbers to take to management",yes
299,"Fire drill scheduled for Thursday",no
300,"Could you give me a sense of what we're looking at cost-wise?",yes
301,"Please update your photo for company directory",no
302,"Hoping to get some pricing information for comparison",yes
303,"Reminder: Lock your computer when away",no
304,"What would be the investment required for this solution?",yes
305,"Office plant watering schedule",no
306,"Need to understand financial implications of this change",yes
307,"Updated visitor policy - please review",no
308,"Could you provide some cost scenarios for this project?",yes
309,"Team building event - RSVP required",no
310,"Looking for some pricing guidance before formal quote",yes
311,"Reminder: Submit expense reports",no
312,"What kind of numbers should I expect for this order?",yes
313,"New recycling procedures in office",no
314,"Hoping to get a rough idea of costs involved",yes
315,"Please complete your annual review",no
316,"Need some pricing information to evaluate options",yes
317,"Office furniture rearrangement notice",no
318,"Could you help me understand the cost structure?",yes
319,"Updated emergency evacuation routes",no
320,"Looking for some ballpark figures for budgeting",yes
321,"Reminder: Company photo day tomorrow",no
322,"What would the financial commitment look like?",yes
323,"New vending machine options - please vote",no
324,"Need to get a sense of pricing for planning purposes",yes
325,"Please update your emergency contacts",no
326,"Hoping to understand the cost implications",yes
327,"Office noise level reminder",no
328,"Could you provide some pricing scenarios?",yes
329,"Updated dress code policy",no
330,"What kind of investment would this project require?",yes
331,"Reminder: Return library books",no
332,"Need to get a handle on potential costs",yes
333,"New office seating chart",no
334,"Looking for some rough pricing for comparison",yes
335,"Please complete cybersecurity training",no
336,"Hoping to understand what kind of budget we'd need",yes
337,"Office kitchen cleaning rotation",no
338,"Could you give me an idea of the cost range?",yes
339,"Updated printer access codes",no
340,"What would the numbers look like for this configuration?",yes
341,"Reminder: Staff meeting tomorrow",no
342,"Need some pricing guidance for decision-making",yes
343,"New coffee options in break room",no
344,"Hoping to get a sense of the financial picture",yes
345,"Please update your software by Friday",no
346,"Could you help me understand what we'd be looking at cost-wise?",yes
347,"Office supply cabinet reorganization",no
348,"What kind of pricing should we anticipate?",yes
349,"Reminder: Submit vacation requests",no
350,"Need to get a rough idea of the investment required",yes
351,"New parking validation procedure",no
352,"Hoping to understand the financial requirements",yes
353,"Please complete satisfaction survey",no
354,"Could you provide some cost estimates for planning?",yes
355,"Updated conference room booking system",no
356,"What would the price point be for this solution?",yes
357,"Reminder: Clean your microwave messes",no
358,"Need to get a sense of the financial commitment",yes
359,"New phone system training",no
360,"Hoping to understand what kind of budget to allocate",yes
361,"Please update your voicemail greeting",no
362,"Could you give me a rough idea of pricing?",yes
363,"Office chair ergonomic adjustments",no
364,"What would the cost structure look like for this?",yes
365,"Reminder: Return borrowed tools",no
366,"Need to understand financial implications before proceeding",yes
367,"New water cooler installed",no
368,"Hoping to get some numbers for comparison purposes",yes
369,"Please sign the birthday card for John",no
370,"Could you provide some pricing guidance for budgeting?",yes
371,"Updated building access hours",no
372,"What kind of investment would we be looking at?",yes
373,"Reminder: Daylight saving time this weekend",no
374,"Need to get a handle on potential costs for this project",yes
375,"New team communication platform",no
376,"Hoping to understand the price range for these specifications",yes
377,"Please clean out your workspace Friday",no
378,"Could you help me understand what this might run us?",yes
379,"Updated shipping procedures",no
380,"What would the financial picture look like?",yes
381,"Reminder: Return security badges when leaving",no
382,"Need some rough numbers for planning purposes",yes
383,"New cafeteria menu options",no
384,"Hoping to get a sense of what we'd be looking at cost-wise",yes
385,"Please update your contact preferences",no
386,"Could you provide some pricing scenarios for consideration?",yes
387,"Office heating system maintenance",no
388,"What kind of budget should we allocate for this?",yes
389,"Reminder: Flu shots available next week",no
390,"Need to understand the potential investment required",yes
391,"New office layout plans",no
392,"Hoping to get some ballpark figures for these items",yes
393,"Please complete diversity training",no
394,"Could you give me an idea of what this might cost?",yes
395,"Updated restroom cleaning schedule",no
396,"What would the numbers look like for this project?",yes
397,"Reminder: Backup your files regularly",no
398,"Need to get a sense of pricing for budget approval",yes
399,"New employee introduction",no
400,"Hoping to understand the cost structure before proceeding",yes
401,"Please update your profile picture",no
402,"Could you provide some financial guidance on this?",yes
403,"Office air quality testing scheduled",no
404,"What kind of price range should we expect?",yes
405,"Reminder: Return borrowed equipment",no
406,"Need to get a rough idea of costs involved",yes
407,"New printer installation guide",no
408,"Hoping to understand what the financial commitment might be",yes
409,"Please sign up for volunteer day",no
410,"Could you help me understand the pricing options?",yes
411,"Updated meeting room technology",no
412,"What would the cost implications be for this change?",yes
413,"Reminder: Submit health insurance forms",no
414,"Need to get a handle on what this might cost us",yes
415,"New security procedures effective Monday",no
416,"Hoping to get some pricing information for planning",yes
417,"Please update your dietary preferences",no
418,"Could you give me a sense of the investment required?",yes
419,"Office lighting adjustment schedule",no
420,"What kind of numbers are we looking at for this order?",yes
421,"Reminder: Company anniversary celebration",no
422,"Need to understand potential costs before proceeding",yes
423,"New recycling guidelines",no
424,"Hoping to get a rough estimate for budgeting purposes",yes
425,"Please complete your self-assessment",no
426,"Pricing matrix needed for upcoming client meeting",yes
427,"Facilities update: New security system",no
428,"Can your team work up some numbers for this project?",yes
429,"Reminder: Update your beneficiary information",no
430,"Need to understand cost implications of switching suppliers",yes
431,"Company-wide survey: Employee satisfaction",no
432,"What's your best price on these components?",yes
433,"Upcoming network maintenance window",no
434,"Financial projection request for Q3 planning",yes
435,"Reminder: Return borrowed equipment",no
436,"Seeking cost analysis for proposed system upgrade",yes
437,"New employee welcome lunch next week",no
438,"Budget numbers needed for these line items",yes
439,"Scheduled power outage this weekend",no
440,"Cost comparison request between options A and B",yes
441,"Updated company handbook available online",no
442,"Financial breakdown needed for stakeholder presentation",yes
443,"Reminder: Submit your health screening results",no
444,"What would these specs cost to implement?",yes
445,"Office closure for upcoming holiday",no
446,"Seeking financial data points for board meeting",yes
447,"New procedure for visitor check-in",no
448,"Need to understand the economics of this solution",yes
449,"Team-building retreat information",no
450,"Cost structure analysis request for new project",yes
451,"Reminder: Update your W-4 information",no
452,"Financial implications of proposed timeline change",yes
453,"New cafeteria hours starting next month",no
454,"Budget impact assessment needed for proposal",yes
455,"Scheduled maintenance of HVAC system",no
456,"What's the damage going to be for this order?",yes
457,"Updated emergency contact procedures",no
458,"Financial evaluation needed for make-vs-buy decision",yes
459,"Reminder: Complete mandatory training",no
460,"Cost-benefit analysis request for automation project",yes
461,"New bike rack installed in parking garage",no
462,"Financial modeling request for capacity expansion",yes
463,"Upcoming fire alarm testing",no
464,"What's the investment level for implementing this solution?",yes
465,"Updated travel reimbursement policy",no
466,"Need financial justification for capital expenditure",yes
467,"Reminder: Submit your vacation requests",no
468,"Cost assessment needed for regulatory compliance",yes
469,"New coffee service in break room",no
470,"Financial scenario planning for potential acquisition",yes
471,"Scheduled IT system backup tonight",no
472,"What's the price tag on implementing these changes?",yes
473,"Updated parking permit procedures",no
474,"Financial impact statement needed for proposed changes",yes
475,"Reminder: Clean out refrigerator Friday",no
476,"Cost structure evaluation for new service offering",yes
477,"Office furniture rearrangement next weekend",no
478,"Financial analysis needed for contract negotiation",yes
479,"New procedure for conference room booking",no
480,"What's the cost outlook for this implementation?",yes
481,"Reminder: Submit your timesheet",no
482,"Financial assessment needed for risk management",yes
483,"Updated recycling guidelines",no
484,"Cost projection needed for five-year planning",yes
485,"New employee orientation schedule",no
486,"Financial evaluation of vendor proposals requested",yes
487,"Scheduled maintenance of elevators",no
488,"What's the budget impact of this decision?",yes
489,"Reminder: Update your direct deposit information",no
490,"Cost-effectiveness analysis needed for technology upgrade",yes
491,"New procedure for package delivery",no
492,"Financial modeling request for market expansion",yes
493,"Office temperature adjustment schedule",no
494,"What's the ROI calculation for this investment?",yes
495,"Reminder: Complete your performance review",no
496,"Cost breakdown needed for client billing",yes
497,"Updated emergency evacuation routes",no
498,"Financial justification needed for headcount increase",yes
499,"New vending machine options",no
500,"What's the TCO analysis for this solution?",yes
501,"Reminder: Submit your expense reports",no
502,"Cost allocation analysis for shared services",yes
503,"Office painting scheduled for weekend",no
504,"Financial forecast needed for budget planning",yes
505,"New procedure for visitor parking",no
506,"What's the unit economics of this product line?",yes
507,"Reminder: Update your password",no
508,"Cost variance analysis needed for project overrun",yes
509,"Updated dress code policy",no
510,"Financial sensitivity analysis for pricing changes",yes
511,"Scheduled maintenance of security cameras",no
512,"What's the cost structure of this service model?",yes
513,"Reminder: Complete your health assessment",no
514,"Cost optimization study for operational efficiency",yes
515,"New procedure for after-hours access",no
516,"Financial benchmark comparison with industry standards",yes
517,"Office holiday party planning committee",no
518,"What's the cost-benefit ratio of this initiative?",yes
519,"Reminder: Submit your tax withholding forms",no
520,"Cost impact assessment of regulatory changes",yes
521,"Updated procedure for equipment checkout",no
522,"Financial scenario modeling for market downturn",yes
523,"New water cooler installed in break room",no
524,"What's the margin analysis for this product mix?",yes
525,"Reminder: Complete cybersecurity training",no
526,"Cost reduction opportunities in supply chain",yes
527,"Office seating chart update",no
528,"Financial valuation needed for intellectual property",yes
529,"Scheduled maintenance of fire extinguishers",no
530,"What's the cost trajectory over the next three years?",yes
531,"Reminder: Update your emergency contacts",no
532,"Cost driver analysis for manufacturing process",yes
533,"New procedure for conference call setup",no
534,"Financial modeling for capacity utilization",yes
535,"Office supply inventory update",no
536,"What's the economic value added by this initiative?",yes
537,"Reminder: Submit your health insurance enrollment",no
538,"Cost of quality analysis for process improvement",yes
539,"Updated procedure for visitor badges",no
540,"Financial assessment of make-vs-buy alternatives",yes
541,"New coffee machine instructions",no
542,"What's the cost-to-serve analysis for this customer segment?",yes
543,"Reminder: Complete your diversity training",no
544,"Cost allocation methodology for shared resources",yes
545,"Office furniture cleaning scheduled",no
546,"Financial impact of proposed policy changes",yes
547,"New procedure for mail distribution",no
548,"What's the profitability analysis of this service line?",yes
549,"Reminder: Submit your 401k changes",no
550,"Cost baseline establishment for new project",yes
551,"Updated procedure for printer access",no
552,"Financial modeling for capacity constraints",yes
553,"Office plant watering schedule",no
554,"What's the cost implication of this design change?",yes
555,"Reminder: Complete your annual certification",no
556,"Cost-volume-profit analysis for new product",yes
557,"New procedure for meeting room setup",no
558,"Financial assessment of outsourcing options",yes
559,"Scheduled maintenance of air conditioning",no
560,"What's the budget impact of this schedule change?",yes
561,"Reminder: Update your contact information",no
562,"Cost efficiency analysis of current processes",yes
563,"Updated procedure for building access",no
564,"Financial modeling for demand fluctuations",yes
565,"Office kitchen cleaning schedule",no
566,"What's the economic order quantity for these items?",yes
567,"Reminder: Complete your skills assessment",no
568,"Cost breakdown structure for project planning",yes
569,"New procedure for equipment maintenance",no
570,"Financial analysis of lease vs. buy options",yes
571,"Scheduled testing of emergency lights",no
572,"What's the cost per unit at different volumes?",yes
573,"Reminder: Submit your flexible spending claims",no
574,"Cost center allocation for shared expenses",yes
575,"Updated procedure for visitor wifi access",no
576,"Financial modeling for seasonal demand patterns",yes
577,"Office recycling program update",no
578,"What's the contribution margin of this product line?",yes
579,"Reminder: Complete your safety training",no
580,"Cost-benefit analysis of automation options",yes
581,"New procedure for shipping and receiving",no
582,"Financial assessment of technology alternatives",yes
583,"Scheduled maintenance of plumbing system",no
584,"What's the breakeven analysis for this investment?",yes
585,"Reminder: Update your photo ID",no
586,"Cost variance explanation for budget overrun",yes
587,"Updated procedure for conference room technology",no
588,"Financial modeling for capacity expansion",yes
589,"Office cleaning schedule changes",no
590,"What's the ROI calculation for this equipment?",yes
591,"Reminder: Complete your ethics training",no
592,"Cost allocation for interdepartmental services",yes
593,"New procedure for visitor parking validation",no
594,"Financial analysis of pricing strategy options",yes
595,"Scheduled maintenance of electrical systems",no
596,"What's the total cost of ownership for this system?",yes
597,"Reminder: Submit your commuter benefit changes",no
598,"Cost structure analysis for new business model",yes
599,"Updated procedure for package handling",no
600,"Financial modeling for market expansion scenarios",yes
601,"Office furniture inventory check",no
602,"What's the unit cost at different production levels?",yes
603,"Reminder: Complete your compliance training",no
604,"Cost impact assessment of supply chain disruption",yes
605,"New procedure for equipment calibration",no
606,"Financial analysis of customer acquisition channels",yes
607,"Scheduled maintenance of ventilation system",no
608,"What's the cost-effectiveness of this marketing approach?",yes
609,"Reminder: Update your skills profile",no
610,"Cost allocation methodology for overhead expenses",yes
611,"Updated procedure for visitor escort requirements",no
612,"Financial modeling for capacity utilization scenarios",yes
613,"Office supply ordering procedure update",no
614,"What's the margin structure for this service offering?",yes
615,"Reminder: Complete your security clearance renewal",no
616,"Cost baseline for performance measurement",yes
617,"New procedure for equipment disposal",no
618,"Financial assessment of strategic alternatives",yes
619,"Scheduled maintenance of security system",no
620,"What's the cost-benefit analysis of this upgrade?",yes
621,"Reminder: Submit your tuition reimbursement forms",no
622,"Cost driver analysis for overhead allocation",yes
623,"Updated procedure for visitor management system",no
624,"Financial modeling for demand sensitivity",yes
625,"Office ergonomic assessment schedule",no
626,"Need comprehensive pricing for Johnson Manufacturing project - 50 units with custom specifications",yes
627,"Weekly team status update - Projects in progress and upcoming deadlines",no
628,"Request for detailed cost breakdown on the industrial cooling system installation we discussed yesterday",yes
629,"HR announcement: Changes to health insurance coverage effective January 1st",no
630,"Seeking competitive quotation for annual maintenance contract renewal (Ref: MAINT-2023-456)",yes
631,"Reminder: Mandatory cybersecurity training must be completed by end of week",no
632,"Can you provide updated pricing for our standard order plus the new components we discussed at the trade show?",yes
633,"Facilities update: Parking garage maintenance scheduled for this weekend - please remove vehicles",no
634,"Formal request for proposal: Enterprise-wide software implementation with 3-year support contract",yes
635,"Company newsletter: October 2023 - Employee achievements and upcoming events",no
636,"Need urgent price confirmation for client meeting tomorrow - specifically for the custom configuration of Model TX500",yes
637,"IT Department: Scheduled system maintenance will require network downtime on Saturday from 10pm-2am",no
638,"Following up on our conversation - could you send over the numbers we discussed for the municipal project?",yes
639,"Invitation: Annual company holiday party - December 15th at Grand Hyatt Hotel",no
